"",logFC,AveExpr,t,P.Value,adj.P.Val,B
1034_207.135641,-0.59736,-1.9568e-16,-2.5464,0.023394,0.096028,-3.9913
826_318.969947,0.77634,-4.0523e-16,2.5425,0.023568,0.096028,-3.9983
778_295.100051,0.79733,3.9656e-16,2.5424,0.023575,0.096028,-3.9986
795_110.779387,0.75458,-4.2466e-16,2.5417,0.023607,0.096028,-3.9998
890_654.253316,0.65766,1.7486e-16,2.5373,0.023809,0.096521,-4.0079
835_358.198976,-0.51133,-9.5757e-16,-2.531,0.024099,0.097372,-4.0193
47_359.064934,0.72502,5.8703e-16,2.5267,0.024302,0.097861,-4.0273
168_215.200639,0.55606,8.3544e-16,2.5231,0.024471,0.098209,-4.0338
259_293.08441,0.62662,5.2597e-16,2.5121,0.024992,0.099825,-4.0537
761_105.719239,-0.55242,-8.4516e-16,-2.5112,0.02504,0.099825,-4.0555
612_301.177129,-0.59584,-7.4801e-16,-2.5009,0.02554,0.10148,-4.0741
618_261.088845,-0.51161,4.1633e-18,-2.4988,0.025644,0.10156,-4.0779
675_123.044098,-0.60712,5.4678e-16,-2.4962,0.025772,0.10173,-4.0826
748_341.229943,-0.55048,-8.4655e-16,-2.4839,0.02639,0.10383,-4.1049
906_260.384737,0.50856,-9.3744e-16,2.4526,0.028027,0.10991,-4.1615
217_196.865172,-0.82085,1.36e-16,-2.4469,0.028337,0.11076,-4.1719
880_204.440478,0.65145,1.7625e-16,2.4403,0.028698,0.11181,-4.1837
155_200.906766,-0.80779,-3.5805e-16,-2.4205,0.029806,0.11575,-4.2193
730_111.058087,-0.49026,2.4451e-16,-2.4081,0.030522,0.11815,-4.2415
1043_341.243583,0.69609,2.7912e-16,2.3922,0.03146,0.12105,-4.2698
606_311.186042,0.66918,-4.5242e-16,2.392,0.031473,0.12105,-4.2702
