"",logFC,AveExpr,t,P.Value,adj.P.Val,B
833_443.232963,0.41046,-5.1348e-16,1.3797,0.17224,0.47515,-5.0351
4433_814.265981,-0.40796,8.854e-16,-1.3773,0.173,0.47562,-5.0382
161_281.174836,-0.39397,-7.0222e-16,-1.3766,0.17321,0.47562,-5.0391
4476_790.27925,-0.40656,-5.5511e-18,-1.3731,0.17427,0.47666,-5.0434
1281_327.227915,0.41602,1.5543e-16,1.3728,0.17438,0.47666,-5.0439
2835_593.387314,-0.40572,-8.632e-16,-1.3682,0.1758,0.47945,-5.0496
302_391.209184,-0.40553,-5.2458e-16,-1.3663,0.1764,0.48001,-5.052
1173_235.914624,0.40121,-3.7192e-16,1.3631,0.17741,0.48165,-5.056
992_270.279238,0.41214,1.4554e-16,1.3593,0.17858,0.48319,-5.0607
2948_619.394973,-0.4028,5.3013e-16,-1.3585,0.17884,0.48319,-5.0617
1735_546.332894,-0.4028,-1.1102e-17,-1.357,0.17931,0.48319,-5.0636
937_380.970156,0.42705,3.8858e-16,1.3551,0.17993,0.48319,-5.066
267_606.390386,0.4008,-7.1332e-16,1.3549,0.17999,0.48319,-5.0662
4774_565.136529,-0.4002,-1.1102e-17,-1.3532,0.18053,0.48342,-5.0683
1540_622.524494,-0.4011,-5.1903e-16,-1.3509,0.18126,0.48342,-5.0712
3137_747.407105,-0.4001,1.6653e-16,-1.3508,0.18128,0.48342,-5.0713
897_211.242113,-0.39223,-6.0368e-16,-1.3488,0.18192,0.48404,-5.0737
127_219.135641,-0.38002,1.0672e-15,-1.3416,0.18423,0.48731,-5.0826
1284_345.209491,0.39745,5.1903e-16,1.3399,0.18479,0.48731,-5.0848
646_333.166722,-0.38327,-2.3315e-16,-1.3391,0.18506,0.48731,-5.0858
344_694.562866,-0.39507,5.4956e-16,-1.3365,0.18589,0.48731,-5.0889
1041_193.002039,0.39318,1.7486e-16,1.335,0.18637,0.48731,-5.0907
